Périmètre;Nature;Date;Heures;Consommation
Occitanie;Données définitives;03/01/2020;05:00;4638
Occitanie;Données définitives;03/01/2020;05:30;4750
Occitanie;Données définitives;03/01/2020;06:00;4844
Occitanie;Données définitives;03/01/2020;06:30;5080
Occitanie;Données définitives;03/01/2020;07:00;5205
Occitanie;Données définitives;03/01/2020;07:30;5441
Occitanie;Données définitives;03/01/2020;08:00;5515
Occitanie;Données définitives;03/01/2020;08:30;5598
Occitanie;Données définitives;03/01/2020;09:00;5724
Occitanie;Données définitives;03/01/2020;09:30;5858
Occitanie;Données définitives;03/01/2020;10:00;5858
Occitanie;Données définitives;03/01/2020;10:30;5842
Occitanie;Données définitives;03/01/2020;11:00;5810
Occitanie;Données définitives;03/01/2020;11:30;5799
Occitanie;Données définitives;03/01/2020;12:00;5852
Occitanie;Données définitives;03/01/2020;12:30;5906
Occitanie;Données définitives;03/01/2020;13:00;5925
Occitanie;Données définitives;03/01/2020;13:30;5805
Occitanie;Données définitives;03/01/2020;14:00;5745
Occitanie;Données définitives;03/01/2020;14:30;5585
Occitanie;Données définitives;03/01/2020;15:00;5426
Occitanie;Données définitives;03/01/2020;15:30;5372
Occitanie;Données définitives;03/01/2020;16:00;5283
Occitanie;Données définitives;03/01/2020;16:30;5265
Occitanie;Données définitives;03/01/2020;17:00;5248
Occitanie;Données définitives;03/01/2020;17:30;5370
Occitanie;Données définitives;03/01/2020;18:00;5700
Occitanie;Données définitives;03/01/2020;18:30;5823
Occitanie;Données définitives;03/01/2020;19:00;5926
Occitanie;Données définitives;03/01/2020;19:30;5920
Occitanie;Données définitives;03/01/2020;20:00;5772
Occitanie;Données définitives;03/01/2020;20:30;5600
Occitanie;Données définitives;03/01/2020;21:00;5433
Occitanie;Données définitives;03/01/2020;21:30;5327
Occitanie;Données définitives;03/01/2020;22:00;5160
Occitanie;Données définitives;03/01/2020;22:30;5177
Occitanie;Données définitives;03/01/2020;23:00;5594
Occitanie;Données définitives;03/01/2020;23:30;5371
Occitanie;Données définitives;04/01/2020;00:00;5475
Occitanie;Données définitives;04/01/2020;00:30;5266
Occitanie;Données définitives;04/01/2020;01:00;5004
Occitanie;Données définitives;04/01/2020;01:30;4921
Occitanie;Données définitives;04/01/2020;02:00;4871
Occitanie;Données définitives;04/01/2020;02:30;4793
Occitanie;Données définitives;04/01/2020;03:00;4661
Occitanie;Données définitives;04/01/2020;03:30;4551
Occitanie;Données définitives;04/01/2020;04:00;4457
Occitanie;Données définitives;04/01/2020;04:30;4357
Occitanie;Données définitives;04/01/2020;05:00;4301
Occitanie;Données définitives;04/01/2020;05:30;4360
Occitanie;Données définitives;04/01/2020;06:00;4406
Occitanie;Données définitives;04/01/2020;06:30;4520
Occitanie;Données définitives;04/01/2020;07:00;4581
Occitanie;Données définitives;04/01/2020;07:30;4684
Occitanie;Données définitives;04/01/2020;08:00;4754
Occitanie;Données définitives;04/01/2020;08:30;4808
Occitanie;Données définitives;04/01/2020;09:00;4895
Occitanie;Données définitives;04/01/2020;09:30;4936
Occitanie;Données définitives;04/01/2020;10:00;4972
Occitanie;Données définitives;04/01/2020;10:30;4991
Occitanie;Données définitives;04/01/2020;11:00;4971
Occitanie;Données définitives;04/01/2020;11:30;5015
Occitanie;Données définitives;04/01/2020;12:00;5102
Occitanie;Données définitives;04/01/2020;12:30;5180
Occitanie;Données définitives;04/01/2020;13:00;5282
Occitanie;Données définitives;04/01/2020;13:30;5197
Occitanie;Données définitives;04/01/2020;14:00;5112
Occitanie;Données définitives;04/01/2020;14:30;4971
Occitanie;Données définitives;04/01/2020;15:00;4816
Occitanie;Données définitives;04/01/2020;15:30;4741
Occitanie;Données définitives;04/01/2020;16:00;4656
Occitanie;Données définitives;04/01/2020;16:30;4596
Occitanie;Données définitives;04/01/2020;17:00;4634
Occitanie;Données définitives;04/01/2020;17:30;4736
Occitanie;Données définitives;04/01/2020;18:00;5104
Occitanie;Données définitives;04/01/2020;18:30;5341
Occitanie;Données définitives;04/01/2020;19:00;5507
Occitanie;Données définitives;04/01/2020;19:30;5542
Occitanie;Données définitives;04/01/2020;20:00;5449
Occitanie;Données définitives;04/01/2020;20:30;5292
Occitanie;Données définitives;04/01/2020;21:00;5147
Occitanie;Données définitives;04/01/2020;21:30;5081
Occitanie;Données définitives;04/01/2020;22:00;4970
Occitanie;Données définitives;04/01/2020;22:30;5014
Occitanie;Données définitives;04/01/2020;23:00;5485
Occitanie;Données définitives;04/01/2020;23:30;5236
Occitanie;Données définitives;05/01/2020;00:00;5427
Occitanie;Données définitives;05/01/2020;00:30;5177
Occitanie;Données définitives;05/01/2020;01:00;4922
Occitanie;Données définitives;05/01/2020;01:30;4845
Occitanie;Données définitives;05/01/2020;02:00;4799
Occitanie;Données définitives;05/01/2020;02:30;4804
Occitanie;Données définitives;05/01/2020;03:00;4725
Occitanie;Données définitives;05/01/2020;03:30;4628
Occitanie;Données définitives;05/01/2020;04:00;4541
Occitanie;Données définitives;05/01/2020;04:30;4448
Occitanie;Données définitives;05/01/2020;05:00;4424
Occitanie;Données définitives;05/01/2020;05:30;4443
Occitanie;Données définitives;05/01/2020;06:00;4499
Occitanie;Données définitives;05/01/2020;06:30;4610
Occitanie;Données définitives;05/01/2020;07:00;4664
Occitanie;Données définitives;05/01/2020;07:30;4772
Occitanie;Données définitives;05/01/2020;08:00;4831
Occitanie;Données définitives;05/01/2020;08:30;4799
Occitanie;Données définitives;05/01/2020;09:00;4940
Occitanie;Données définitives;05/01/2020;09:30;5026
Occitanie;Données définitives;05/01/2020;10:00;5120
Occitanie;Données définitives;05/01/2020;10:30;5194
Occitanie;Données définitives;05/01/2020;11:00;5220
Occitanie;Données définitives;05/01/2020;11:30;5232
Occitanie;Données définitives;05/01/2020;12:00;5328
Occitanie;Données définitives;05/01/2020;12:30;5433
Occitanie;Données définitives;05/01/2020;13:00;5479
Occitanie;Données définitives;05/01/2020;13:30;5319
Occitanie;Données définitives;05/01/2020;14:00;5118
Occitanie;Données définitives;05/01/2020;14:30;4952
Occitanie;Données définitives;05/01/2020;15:00;4813
Occitanie;Données définitives;05/01/2020;15:30;4661
Occitanie;Données définitives;05/01/2020;16:00;4565
Occitanie;Données définitives;05/01/2020;16:30;4513
Occitanie;Données définitives;05/01/2020;17:00;4589
Occitanie;Données définitives;05/01/2020;17:30;4804
Occitanie;Données définitives;05/01/2020;18:00;5276
Occitanie;Données définitives;05/01/2020;18:30;5696
Occitanie;Données définitives;05/01/2020;19:00;5897
Occitanie;Données définitives;05/01/2020;19:30;5985
Occitanie;Données définitives;05/01/2020;20:00;5909
Occitanie;Données définitives;05/01/2020;20:30;5739
Occitanie;Données définitives;05/01/2020;21:00;5645
Occitanie;Données définitives;05/01/2020;21:30;5551
Occitanie;Données définitives;05/01/2020;22:00;5384
Occitanie;Données définitives;05/01/2020;22:30;5423
Occitanie;Données définitives;05/01/2020;23:00;5896
Occitanie;Données définitives;05/01/2020;23:30;5657
Occitanie;Données définitives;06/01/2020;00:00;5817
Occitanie;Données définitives;06/01/2020;00:30;5631
Occitanie;Données définitives;06/01/2020;01:00;5372
Occitanie;Données définitives;06/01/2020;01:30;5290
Occitanie;Données définitives;06/01/2020;02:00;5294
Occitanie;Données définitives;06/01/2020;02:30;5286
Occitanie;Données définitives;06/01/2020;03:00;5200
Occitanie;Données définitives;06/01/2020;03:30;5124
