Périmètre;Nature;Date;Heures;Consommation
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;00:00;8984
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;00:30;8781
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;01:00;8538
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;01:30;8485
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;02:00;8432
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;02:30;8483
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;03:00;8308
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;03:30;8214
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;04:00;7989
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;04:30;7894
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;05:00;7783
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;05:30;7821
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;06:00;7742
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;06:30;7680
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;07:00;7628
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;07:30;7565
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;08:00;7608
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;08:30;7469
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;09:00;7551
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;09:30;7719
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;10:00;7820
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;10:30;7962
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;11:00;8111
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;11:30;8277
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;12:00;8381
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;12:30;8510
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;13:00;8692
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;13:30;8577
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;14:00;8399
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;14:30;8263
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;15:00;8112
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;15:30;8099
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;16:00;8143
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;16:30;8167
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;17:00;8134
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;17:30;8448
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;18:00;8633
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;18:30;8791
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;19:00;8854
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;19:30;8926
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;20:00;8838
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;20:30;8753
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;21:00;8636
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;21:30;8551
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;22:00;8309
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;22:30;8518
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;23:00;8787
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;23:30;8883
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;00:00;8567
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;00:30;8352
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;01:00;8104
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;01:30;8072
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;02:00;8108
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;02:30;8170
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;03:00;8017
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;03:30;8014
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;04:00;7887
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;04:30;7926
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;05:00;7951
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;05:30;8216
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;06:00;8305
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;06:30;8524
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;07:00;8681
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;07:30;8892
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;08:00;9179
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;08:30;9274
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;09:00;9463
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;09:30;9650
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;10:00;9765
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;10:30;9758
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;11:00;9783
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;11:30;9846
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;12:00;9921
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;12:30;9886
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;13:00;9977
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;13:30;9916
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;14:00;9780
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;14:30;9631
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;15:00;9421
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;15:30;9417
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;16:00;9438
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;16:30;9455
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;17:00;9490
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;17:30;9880
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;18:00;10160
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;18:30;10300
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;19:00;10491
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;19:30;10427
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;20:00;10216
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;20:30;10028
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;21:00;9851
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;21:30;9645
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;22:00;9428
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;22:30;9670
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;23:00;9960
Auvergne-Rhône-Alpes;Données définitives;02/01/2019;23:30;10095
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;00:00;9776
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;00:30;9587
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;01:00;9301
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;01:30;9280
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;02:00;9308
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;02:30;9372
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;03:00;9267
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;03:30;9210
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;04:00;9088
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;04:30;9122
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;05:00;9175
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;05:30;9479
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;06:00;9585
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;06:30;9784
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;07:00;10026
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;07:30;10245
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;08:00;10603
Auvergne-Rhône-Alpes;Données définitives;03/01/2019;08:30;10616
