Périmètre;Nature;Date;Heures;Consommation
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;00:00;10010
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;00:30;9856
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;01:00;9623
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;01:30;9583
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;02:00;9581
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;02:30;9631
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;03:00;9450
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;03:30;9332
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;04:00;9140
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;04:30;9032
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;05:00;8936
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;05:30;8944
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;06:00;8868
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;06:30;8732
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;07:00;8652
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;07:30;8569
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;08:00;8594
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;08:30;8532
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;09:00;8599
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;09:30;8790
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;10:00;8871
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;10:30;8981
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;11:00;9027
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;11:30;9105
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;12:00;9084
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;12:30;9188
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;13:00;9284
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;13:30;9119
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;14:00;8891
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;14:30;8664
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;15:00;8417
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;15:30;8385
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;16:00;8413
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;16:30;8424
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;17:00;8472
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;17:30;8848
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;18:00;9200
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;18:30;9506
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;19:00;9656
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;19:30;9764
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;20:00;9683
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;20:30;9676
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;21:00;9620
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;21:30;9461
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;22:00;9209
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;22:30;9421
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;23:00;9768
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;23:30;9891
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;00:00;9591
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;00:30;9359
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;01:00;9093
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;01:30;9083
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;02:00;9119
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;02:30;9221
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;03:00;9088
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;03:30;9054
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;04:00;8920
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;04:30;8963
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;05:00;9001
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;05:30;9266
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;06:00;9392
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;06:30;9459
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;07:00;9687
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;07:30;9827
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;08:00;10109
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;08:30;10189
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;09:00;10332
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;09:30;10496
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;10:00;10624
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;10:30;10702
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;11:00;10710
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;11:30;10837
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;12:00;10851
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;12:30;10813
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;13:00;10874
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;13:30;10788
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;14:00;10746
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;14:30;10618
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;15:00;10386
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;15:30;10366
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;16:00;10444
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;16:30;10441
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;17:00;10424
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;17:30;10754
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;18:00;11008
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;18:30;11083
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;19:00;11245
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;19:30;11053
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;20:00;10751
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;20:30;10592
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;21:00;10362
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;21:30;10124
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;22:00;9819
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;22:30;10033
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;23:00;10303
Auvergne-Rhône-Alpes;Données définitives;02/01/2017;23:30;10461
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;00:00;10136
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;00:30;9901
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;01:00;9640
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;01:30;9598
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;02:00;9574
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;02:30;9636
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;03:00;9500
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;03:30;9498
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;04:00;9365
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;04:30;9396
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;05:00;9453
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;05:30;9753
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;06:00;9960
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;06:30;10239
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;07:00;10587
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;07:30;10737
Auvergne-Rhône-Alpes;Données définitives;03/01/2017;08:00;11069
