Périmètre;Nature;Date;Heures;Consommation
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;00:00;8114
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;00:30;8012
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;01:00;7789
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;01:30;7749
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;02:00;7724
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;02:30;7775
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;03:00;7580
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;03:30;7475
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;04:00;7312
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;04:30;7196
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;05:00;7109
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;05:30;7123
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;06:00;7084
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;06:30;7013
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;07:00;6964
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;07:30;6904
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;08:00;6952
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;08:30;6839
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;09:00;6902
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;09:30;7121
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;10:00;7229
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;10:30;7300
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;11:00;7402
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;11:30;7591
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;12:00;7646
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;12:30;7789
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;13:00;7909
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;13:30;7767
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;14:00;7635
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;14:30;7501
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;15:00;7272
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;15:30;7332
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;16:00;7352
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;16:30;7364
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;17:00;7380
Auvergne-Rhône-Alpes;Données définitives;01/01/2016;17:30;7785
