Périmètre;Nature;Date;Heures;Consommation
Ile-de-France;Données définitives;01/01/2019;00:00;9035
Ile-de-France;Données définitives;01/01/2019;00:30;8965
Ile-de-France;Données définitives;01/01/2019;01:00;8591
Ile-de-France;Données définitives;01/01/2019;01:30;8272
Ile-de-France;Données définitives;01/01/2019;02:00;8079
Ile-de-France;Données définitives;01/01/2019;02:30;8013
Ile-de-France;Données définitives;01/01/2019;03:00;7763
Ile-de-France;Données définitives;01/01/2019;03:30;7570
Ile-de-France;Données définitives;01/01/2019;04:00;7408
Ile-de-France;Données définitives;01/01/2019;04:30;7351
Ile-de-France;Données définitives;01/01/2019;05:00;7307
Ile-de-France;Données définitives;01/01/2019;05:30;7413
Ile-de-France;Données définitives;01/01/2019;06:00;7397
Ile-de-France;Données définitives;01/01/2019;06:30;7466
Ile-de-France;Données définitives;01/01/2019;07:00;7442
Ile-de-France;Données définitives;01/01/2019;07:30;7577
Ile-de-France;Données définitives;01/01/2019;08:00;7617
Ile-de-France;Données définitives;01/01/2019;08:30;7640
Ile-de-France;Données définitives;01/01/2019;09:00;7612
Ile-de-France;Données définitives;01/01/2019;09:30;7756
Ile-de-France;Données définitives;01/01/2019;10:00;7935
Ile-de-France;Données définitives;01/01/2019;10:30;8121
Ile-de-France;Données définitives;01/01/2019;11:00;8333
Ile-de-France;Données définitives;01/01/2019;11:30;8573
Ile-de-France;Données définitives;01/01/2019;12:00;8838
Ile-de-France;Données définitives;01/01/2019;12:30;9066
Ile-de-France;Données définitives;01/01/2019;13:00;9188
Ile-de-France;Données définitives;01/01/2019;13:30;9210
Ile-de-France;Données définitives;01/01/2019;14:00;9149
Ile-de-France;Données définitives;01/01/2019;14:30;9195
Ile-de-France;Données définitives;01/01/2019;15:00;9024
Ile-de-France;Données définitives;01/01/2019;15:30;8945
Ile-de-France;Données définitives;01/01/2019;16:00;8887
Ile-de-France;Données définitives;01/01/2019;16:30;8964
Ile-de-France;Données définitives;01/01/2019;17:00;9036
Ile-de-France;Données définitives;01/01/2019;17:30;9344
Ile-de-France;Données définitives;01/01/2019;18:00;9603
Ile-de-France;Données définitives;01/01/2019;18:30;9675
Ile-de-France;Données définitives;01/01/2019;19:00;9865
Ile-de-France;Données définitives;01/01/2019;19:30;9908
Ile-de-France;Données définitives;01/01/2019;20:00;9869
Ile-de-France;Données définitives;01/01/2019;20:30;9678
Ile-de-France;Données définitives;01/01/2019;21:00;9491
Ile-de-France;Données définitives;01/01/2019;21:30;9215
Ile-de-France;Données définitives;01/01/2019;22:00;8955
Ile-de-France;Données définitives;01/01/2019;22:30;9062
Ile-de-France;Données définitives;01/01/2019;23:00;9540
Ile-de-France;Données définitives;01/01/2019;23:30;9207
Ile-de-France;Données définitives;02/01/2019;00:00;8991
Ile-de-France;Données définitives;02/01/2019;00:30;8809
Ile-de-France;Données définitives;02/01/2019;01:00;8368
Ile-de-France;Données définitives;02/01/2019;01:30;8009
Ile-de-France;Données définitives;02/01/2019;02:00;7750
Ile-de-France;Données définitives;02/01/2019;02:30;7786
Ile-de-France;Données définitives;02/01/2019;03:00;7574
Ile-de-France;Données définitives;02/01/2019;03:30;7517
Ile-de-France;Données définitives;02/01/2019;04:00;7454
Ile-de-France;Données définitives;02/01/2019;04:30;7530
Ile-de-France;Données définitives;02/01/2019;05:00;7610
Ile-de-France;Données définitives;02/01/2019;05:30;7945
Ile-de-France;Données définitives;02/01/2019;06:00;8205
Ile-de-France;Données définitives;02/01/2019;06:30;8722
Ile-de-France;Données définitives;02/01/2019;07:00;9097
Ile-de-France;Données définitives;02/01/2019;07:30;9636
Ile-de-France;Données définitives;02/01/2019;08:00;10099
Ile-de-France;Données définitives;02/01/2019;08:30;10451
Ile-de-France;Données définitives;02/01/2019;09:00;10585
Ile-de-France;Données définitives;02/01/2019;09:30;10751
Ile-de-France;Données définitives;02/01/2019;10:00;10890
Ile-de-France;Données définitives;02/01/2019;10:30;10996
Ile-de-France;Données définitives;02/01/2019;11:00;11105
