PÈrimËtre;Nature;Date;Heures;Consommation;Thermique;NuclÈaire;Eolien;Solaire;Hydraulique;Pompage;BioÈnergies;Ech. physiques
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;00:00;5098;1061;-;2;0;1;-;44;3990
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;00:30;5022;1094;-;1;0;1;-;45;3883
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;01:00;4855;1082;-;2;0;0;-;44;3726
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;01:30;4821;1088;-;3;0;1;-;44;3685
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;02:00;4904;1078;-;4;0;1;-;43;3778
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;02:30;4721;1100;-;3;0;1;-;44;3573
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;03:00;4522;1059;-;2;0;1;-;42;3418
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;03:30;4392;1089;-;2;0;1;-;43;3258
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;04:00;4262;1037;-;3;0;1;-;43;3178
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;04:30;4188;1084;-;2;0;1;-;42;3059
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;05:00;4124;1074;-;2;0;1;-;44;3004
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;05:30;4126;1092;-;1;0;1;-;43;2989
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;06:00;4123;1108;-;2;0;0;-;43;2969
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;06:30;4176;1075;-;2;0;0;-;44;3055
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;07:00;4152;1078;-;2;0;0;-;43;3028
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;07:30;4162;1074;-;3;0;0;-;43;3042
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;08:00;4176;1069;-;4;0;0;-;43;3060
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;08:30;4185;1077;-;6;0;0;-;43;3058
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;09:00;4142;1084;-;12;0;0;-;43;3003
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;09:30;4156;1090;-;14;2;0;-;43;3007
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;10:00;4222;1127;-;15;6;1;-;43;3029
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;10:30;4238;1098;-;16;13;1;-;44;3067
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;11:00;4302;1125;-;20;18;1;-;43;3096
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;11:30;4322;1116;-;28;22;1;-;42;3114
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;12:00;4388;1125;-;31;23;1;-;41;3166
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;12:30;4422;1116;-;35;24;1;-;41;3204
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;13:00;4587;1101;-;46;25;1;-;39;3376
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;13:30;4423;1099;-;48;23;1;-;40;3212
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;14:00;4303;1073;-;54;21;1;-;40;3114
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;14:30;4152;1067;-;53;20;1;-;41;2972
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;15:00;4054;1017;-;64;18;1;-;41;2913
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;15:30;4104;1091;-;78;15;1;-;42;2877
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;16:00;4042;1108;-;90;11;1;-;42;2791
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;16:30;4014;1075;-;91;5;1;-;42;2800
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;17:00;4026;1088;-;102;1;0;-;42;2792
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;17:30;4080;1074;-;106;0;1;-;42;2858
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;18:00;4310;1124;-;109;0;1;-;41;3036
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;18:30;4390;1077;-;121;0;1;-;40;3152
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;19:00;4430;1069;-;121;0;1;-;41;3198
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;19:30;4419;1087;-;122;0;1;-;40;3169
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;20:00;4389;1069;-;130;0;1;-;41;3147
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;20:30;4290;1074;-;127;0;1;-;41;3047
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;21:00;4168;1071;-;101;0;1;-;41;2953
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;21:30;4045;1061;-;93;0;0;-;39;2850
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;22:00;3949;1007;-;90;0;0;-;42;2810
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;22:30;3969;1010;-;91;0;1;-;42;2826
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;23:00;4480;1073;-;86;0;1;-;45;3276
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2017;23:30;4242;1016;-;80;0;1;-;45;3100
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;00:00;4305;1024;-;69;0;1;-;45;3166
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;00:30;4215;1068;-;72;0;1;-;45;3029
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;01:00;4005;958;-;67;0;1;-;45;2934
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;01:30;3952;993;-;64;0;1;-;45;2849
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;02:00;4028;846;-;67;0;1;-;45;3069
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;02:30;3827;891;-;63;0;1;-;45;2827
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;03:00;3676;822;-;61;0;1;-;44;2747
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;03:30;3594;867;-;46;0;1;-;44;2636
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;04:00;3531;846;-;37;0;0;-;44;2603
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;04:30;3545;859;-;31;0;0;-;45;2608
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;05:00;3574;856;-;27;0;1;-;44;2647
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;05:30;3698;963;-;22;0;1;-;44;2668
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;06:00;3805;1055;-;14;0;1;-;41;2696
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;06:30;4029;1066;-;10;0;1;-;40;2912
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;07:00;4117;1061;-;7;0;0;-;43;3007
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;07:30;4281;1033;-;8;0;1;-;42;3197
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;08:00;4394;1090;-;9;0;1;-;43;3250
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;08:30;4506;1008;-;4;0;1;-;42;3452
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;09:00;4485;1048;-;4;0;1;-;42;3391
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;09:30;4559;1042;-;6;1;1;-;43;3466
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;10:00;4616;1045;-;6;6;1;-;44;3515
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;10:30;4652;1046;-;3;12;1;-;44;3547
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;11:00;4697;1040;-;5;16;1;-;42;3593
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;11:30;4766;1068;-;7;19;1;-;45;3626
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;12:00;4829;1085;-;8;20;1;-;44;3671
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;12:30;4821;1048;-;9;22;1;-;43;3698
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;13:00;4927;1055;-;4;26;1;-;42;3800
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;13:30;4773;1061;-;10;29;1;-;41;3631
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;14:00;4684;1152;-;11;30;1;-;39;3451
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;14:30;4578;1152;-;17;25;1;-;38;3346
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;15:00;4501;1156;-;26;19;1;-;39;3261
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;15:30;4539;1156;-;38;17;1;-;39;3289
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;16:00;4499;1065;-;60;11;1;-;39;3323
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;16:30;4509;1080;-;76;6;1;-;38;3308
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;17:00;4540;1125;-;103;1;1;-;39;3271
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;17:30;4611;1078;-;106;0;1;-;38;3390
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;18:00;4801;1079;-;116;0;1;-;39;3567
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;18:30;4888;1149;-;128;0;1;-;39;3571
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;19:00;4977;1144;-;156;0;1;-;39;3637
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;19:30;4877;1141;-;197;0;1;-;38;3501
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;20:00;4732;1130;-;202;0;1;-;38;3362
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;20:30;4583;1098;-;213;0;1;-;39;3232
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;21:00;4426;976;-;242;0;1;-;39;3168
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;21:30;4261;1041;-;248;0;1;-;38;2933
Pays-de-la-Loire;DonnÈes dÈfinitives;02/01/2017;22:00;4122;1055;-;216;0;1;-;40;2811
